USDT,THB,API Endpoint,
BTC,USDT,https://api.binance.com/api/v3/ticker/price?symbol=BTCUSDT,imgpath
BTC,THB,https://api.bitkub.com/api/market/ticker?sym=THB_BTC,imgpath
KUB,USDT,https://api.binance.com/api/v3/ticker/price?symbol=KUBUSDT,imgpath
KUB,THB,https://api.bitkub.com/api/market/ticker?sym=THB_KUB,imgpath
JIB,USDT,https://api.binance.com/api/v3/ticker/price?symbol=JIBUSDT,imgpath
JIB,THB,https://api.bitkub.com/api/market/ticker?sym=THB_JIB,imgpath
SIX,USDT,https://api.binance.com/api/v3/ticker/price?symbol=SIXUSDT,imgpath
SIX,THB,https://api.bitkub.com/api/market/ticker?sym=THB_SIX,imgpath
JBC,USDT,https://api.binance.com/api/v3/ticker/price?symbol=JBCUSDT,imgpath
JBC,THB,https://api.bitkub.com/api/market/ticker?sym=THB_JBC,imgpath
GF,USDT,https://api.binance.com/api/v3/ticker/price?symbol=GFUSDT,imgpath
GF,THB,https://api.bitkub.com/api/market/ticker?sym=THB_GF,imgpath
ETH,USDT,https://api.binance.com/api/v3/ticker/price?symbol=ETHUSDT,imgpath
ETH,THB,https://api.bitkub.com/api/market/ticker?sym=THB_ETH,imgpath
LTC,USDT,https://api.binance.com/api/v3/ticker/price?symbol=LTCUSDT,imgpath
LTC,THB,https://api.bitkub.com/api/market/ticker?sym=THB_LTC,imgpath
XRP,USDT,https://api.binance.com/api/v3/ticker/price?symbol=XRPUSDT,imgpath
XRP,THB,https://api.bitkub.com/api/market/ticker?sym=THB_XRP,imgpath
ADA,USDT,https://api.binance.com/api/v3/ticker/price?symbol=ADAUSDT,imgpath
ADA,THB,https://api.bitkub.com/api/market/ticker?sym=THB_ADA,imgpath
SOL,USDT,https://api.binance.com/api/v3/ticker/price?symbol=SOLUSDT,imgpath
SOL,THB,https://api.bitkub.com/api/market/ticker?sym=THB_SOL,imgpath
DOT,USDT,https://api.binance.com/api/v3/ticker/price?symbol=DOTUSDT,imgpath
DOT,THB,https://api.bitkub.com/api/market/ticker?sym=THB_DOT,imgpath
UNI,USDT,https://api.binance.com/api/v3/ticker/price?symbol=UNIUSDT,imgpath
UNI,THB,https://api.bitkub.com/api/market/ticker?sym=THB_UNI,imgpath
LINK,USDT,https://api.binance.com/api/v3/ticker/price?symbol=LINKUSDT,imgpath
LINK,THB,https://api.bitkub.com/api/market/ticker?sym=THB_LINK,imgpath
BNB,USDT,https://api.binance.com/api/v3/ticker/price?symbol=BNBUSDT,imgpath
BNB,THB,https://api.bitkub.com/api/market/ticker?sym=THB_BNB,imgpath
DOGE,USDT,https://api.binance.com/api/v3/ticker/price?symbol=DOGEUSDT,imgpath
DOGE,THB,https://api.bitkub.com/api/market/ticker?sym=THB_DOGE,imgpath
SHIB,USDT,https://api.binance.com/api/v3/ticker/price?symbol=SHIBUSDT,imgpath
SHIB,THB,https://api.bitkub.com/api/market/ticker?sym=THB_SHIB,imgpath
MATIC,USDT,https://api.binance.com/api/v3/ticker/price?symbol=MATICUSDT,imgpath
MATIC,THB,https://api.bitkub.com/api/market/ticker?sym=THB_MATIC,imgpath
VET,USDT,https://api.binance.com/api/v3/ticker/price?symbol=VETUSDT,imgpath
VET,THB,https://api.bitkub.com/api/market/ticker?sym=THB_VET,imgpath
EOS,USDT,https://api.binance.com/api/v3/ticker/price?symbol=EOSUSDT,imgpath
EOS,THB,https://api.bitkub.com/api/market/ticker?sym=THB_EOS,imgpath
TRX,USDT,https://api.binance.com/api/v3/ticker/price?symbol=TRXUSDT,imgpath
TRX,THB,https://api.bitkub.com/api/market/ticker?sym=THB_TRX,imgpath
AVAX,USDT,https://api.binance.com/api/v3/ticker/price?symbol=AVAXUSDT,imgpath
AVAX,THB,https://api.bitkub.com/api/market/ticker?sym=THB_AVAX,imgpath
ALGO,USDT,https://api.binance.com/api/v3/ticker/price?symbol=ALGOUSDT,imgpath
ALGO,THB,https://api.bitkub.com/api/market/ticker?sym=THB_ALGO,imgpath
ATOM,USDT,https://api.binance.com/api/v3/ticker/price?symbol=ATOMUSDT,imgpath
ATOM,THB,https://api.bitkub.com/api/market/ticker?sym=THB_ATOM,imgpath
XTZ,USDT,https://api.binance.com/api/v3/ticker/price?symbol=XTZUSDT,imgpath
XTZ,THB,https://api.bitkub.com/api/market/ticker?sym=THB_XTZ,imgpath
FTT,USDT,https://api.binance.com/api/v3/ticker/price?symbol=FTTUSDT,imgpath
FTT,THB,https://api.bitkub.com/api/market/ticker?sym=THB_FTT,imgpath
ICP,USDT,https://api.binance.com/api/v3/ticker/price?symbol=ICPUSDT,imgpath
ICP,THB,https://api.bitkub.com/api/market/ticker?sym=THB_ICP,imgpath
FIL,USDT,https://api.binance.com/api/v3/ticker/price?symbol=FILUSDT,imgpath
FIL,THB,https://api.bitkub.com/api/market/ticker?sym=THB_FIL,imgpath
AAVE,USDT,https://api.binance.com/api/v3/ticker/price?symbol=AAVEUSDT,imgpath
AAVE,THB,https://api.bitkub.com/api/market/ticker?sym=THB_AAVE,imgpath
KSM,USDT,https://api.binance.com/api/v3/ticker/price?symbol=KSMUSDT,imgpath
KSM,THB,https://api.bitkub.com/api/market/ticker?sym=THB_KSM,imgpath
COMP,USDT,https://api.binance.com/api/v3/ticker/price?symbol=COMPUSDT,imgpath
COMP,THB,https://api.bitkub.com/api/market/ticker?sym=THB_COMP,imgpath
ZEC,USDT,https://api.binance.com/api/v3/ticker/price?symbol=ZECUSDT,imgpath
ZEC,THB,https://api.bitkub.com/api/market/ticker?sym=THB_ZEC,imgpath
SNX,USDT,https://api.binance.com/api/v3/ticker/price?symbol=SNXUSDT,imgpath
SNX,THB,https://api.bitkub.com/api/market/ticker?sym=THB_SNX,imgpath
YFI,USDT,https://api.binance.com/api/v3/ticker/price?symbol=YFIUSDT,imgpath
YFI,THB,https://api.bitkub.com/api/market/ticker?sym=THB_YFI,imgpath
UMA,USDT,https://api.binance.com/api/v3/ticker/price?symbol=UMAUSDT,imgpath
UMA,THB,https://api.bitkub.com/api/market/ticker?sym=THB_UMA,imgpath
LUNA,USDT,https://api.binance.com/api/v3/ticker/price?symbol=LUNAUSDT,imgpath
LUNA,THB,https://api.bitkub.com/api/market/ticker?sym=THB_LUNA,imgpath
SUSHI,USDT,https://api.binance.com/api/v3/ticker/price?symbol=SUSHIUSDT,imgpath
SUSHI,THB,https://api.bitkub.com/api/market/ticker?sym=THB_SUSHI,imgpath
1INCH,USDT,https://api.binance.com/api/v3/ticker/price?symbol=1INCHUSDT,imgpath
1INCH,THB,https://api.bitkub.com/api/market/ticker?sym=THB_1INCH,imgpath
BAKE,USDT,https://api.binance.com/api/v3/ticker/price?symbol=BAKEUSDT,imgpath
BAKE,THB,https://api.bitkub.com/api/market/ticker?sym=THB_BAKE,imgpath
CAKE,USDT,https://api.binance.com/api/v3/ticker/price?symbol=CAKEUSDT,imgpath
CAKE,THB,https://api.bitkub.com/api/market/ticker?sym=THB_CAKE,imgpath
ENJ,USDT,https://api.binance.com/api/v3/ticker/price?symbol=ENJUSDT,imgpath
ENJ,THB,https://api.bitkub.com/api/market/ticker?sym=THB_ENJ,imgpath
MANA,USDT,https://api.binance.com/api/v3/ticker/price?symbol=MANAUSDT,imgpath
MANA,THB,https://api.bitkub.com/api/market/ticker?sym=THB_MANA,imgpath
SAND,USDT,https://api.binance.com/api/v3/ticker/price?symbol=SANDUSDT,imgpath
SAND,THB,https://api.bitkub.com/api/market/ticker?sym=THB_SAND,imgpath
AXS,USDT,https://api.binance.com/api/v3/ticker/price?symbol=AXSUSDT,imgpath
AXS,THB,https://api.bitkub.com/api/market/ticker?sym=THB_AXS,imgpath
ILV,USDT,https://api.binance.com/api/v3/ticker/price?symbol=ILVUSDT,imgpath
ILV,THB,https://api.bitkub.com/api/market/ticker?sym=THB_ILV,imgpath
GALA,USDT,https://api.binance.com/api/v3/ticker/price?symbol=GALAUSDT,imgpath
GALA,THB,https://api.bitkub.com/api/market/ticker?sym=THB_GALA,imgpath
APE,USDT,https://api.binance.com/api/v3/ticker/price?symbol=APEUSDT,imgpath
APE,THB,https://api.bitkub.com/api/market/ticker?sym=THB_APE,imgpath
PEPE,USDT,https://api.binance.com/api/v3/ticker/price?symbol=PEPEUSDT,imgpath
PEPE,THB,https://api.bitkub.com/api/market/ticker?sym=THB_PEPE,imgpath